TEI,TWEI,TEO,TWEO,TCI,TWCI,TCO,TWCO,TSI,TSO,TBI,TBO,Cond Tons,Cooling Tons,Shared Cond Tons,Cond Energy Balance,Evap Tons,Shared Evap Tons,Building Tons,Evap Energy Balance,kW,COP,kW/Ton,FWC,FWE,TEA,TCA,TRE,PRE,TRC,PRC,TRC_sub,T_suc,Tsh_suc,TR_dis,Tsh_dis,P_lift,Amps,RLA%,Heat Balance (kW),Heat Balance%,Tolerance%,Unit Status,Active Fault,TO_sump,TO_feed,PO_feed,PO_net,TWCD,TWED,VSS,VSL,VH,VM,VC,VE,VW,TWI,TWO,THI,THO,FWW,FWH,FWB,fault type
55.11,55.3,46.17,45.9,75.83,77.1,83.53,85.3,82.19,70.48,54.43,55.36,87.38,15.19,132.9,-60.73,80.19,74.1,8.358,2.263,67.86,4.155,0.8462,272.5,215.3,5.9,5.9,40.0,35.0,91.2,106.7,10.4,43.4,3.6,111.8,20.4,71.4,79,76,42.56,13.85,6.86,20,0,113.3,109.6,159.8,124.7,7.8,9.4,70.0,30.0,100,45.17,50.42,56,17.0,55.32,75.15,61.93,58.6,18.38,60.16,120.6,F1
56.5,56.6,50.43,50.6,65.84,65.6,71.45,71.2,70.11,65.69,56.28,56.67,61.93,14.77,48.79,-1.638,54.52,52.47,3.585,1.53,42.98,4.46,0.7883,265.0,215.4,9.8,3.5,40.8,35.8,74.7,78.4,6.0,47.8,7.2,112.0,37.0,42.8,50,48,16.95,7.787,9.8,20,0,111.6,108.2,155.8,119.5,5.6,6.0,45.0,0.0,100,80.0,56.0,56,50.0,55.93,62.09,58.41,57.66,57.61,86.05,-19.97,F1
51.39,51.6,45.15,45.3,65.8,65.3,71.73,70.9,70.27,62.82,51.16,51.6,66.8,16.44,83.83,-33.47,55.84,53.79,3.942,1.892,43.82,4.48,0.7848,270.1,214.8,7.1,3.8,38.2,33.4,74.7,78.4,5.2,43.0,4.8,107.7,32.8,45.0,50,48,5.272,2.244,9.8,20,0,109.4,106.5,155.3,119.3,5.6,6.1,45.0,0.0,100,55.0,49.0,56,47.0,54.99,61.15,53.33,52.58,64.11,94.6,96.81,F1
43.93,43.9,39.87,39.6,68.05,67.6,72.22,71.7,70.85,54.06,43.91,44.1,46.63,15.4,187.5,-156.2,36.49,36.27,1.747,1.528,39.22,3.271,1.075,268.1,215.3,2.9,2.7,36.9,32.2,74.4,78.0,3.7,39.2,2.3,114.7,40.5,46.2,45,43,3.576,2.181,10.46,20,0,107.7,104.7,129.2,120.3,4.1,4.3,25.0,0.0,100,22.0,47.0,56,73.0,60.6,63.32,44.45,44.47,136.2,41.92,216.2,F1
46.23,46.4,39.66,39.6,71.16,70.9,77.38,77.5,75.92,60.94,46.08,46.44,69.17,16.24,166.6,-113.6,58.84,57.53,3.213,1.894,51.67,4.004,0.878,266.8,215.1,4.2,4.0,35.4,30.9,81.5,89.4,6.3,38.2,2.8,109.4,27.7,58.0,58,56,15.36,6.317,8.86,20,0,108.2,105.3,157.8,126.0,6.6,6.8,35.0,0.0,100,33.0,48.0,56,49.43,60.32,67.62,47.85,47.3,53.38,77.12,174.7,F1
54.66,54.7,45.8,45.6,84.1,84.2,92.57,92.5,90.5,72.45,54.39,54.83,94.61,23.16,201.6,-130.1,79.56,77.13,3.956,1.531,76.31,3.666,0.9592,268.0,215.5,6.6,4.5,39.5,34.6,97.0,118.1,8.1,42.9,3.7,122.7,25.5,83.8,90,86,23.4,7.034,5.964,20,0,114.0,109.2,161.3,125.8,8.3,8.9,50.0,0.0,100,35.0,49.0,56,25.0,55.48,78.88,56.77,55.85,23.76,94.93,165.4,F1
56.42,56.6,50.39,50.3,65.76,65.4,71.36,71.2,70.03,65.65,56.23,56.63,62.54,14.92,48.82,-1.197,54.27,52.57,3.593,1.901,42.94,4.443,0.7914,267.7,215.9,9.7,3.5,40.6,35.6,74.7,78.4,5.8,48.0,7.6,112.0,37.3,43.0,50,48,13.85,6.301,9.8,20,0,111.6,108.0,157.3,120.6,5.6,6.2,50.0,0.0,100,80.0,56.0,56,50.0,55.73,61.92,58.37,57.61,57.8,86.23,-20.59,F1
49.38,49.0,45.31,44.9,86.19,86.1,90.4,90.1,88.49,58.65,49.11,49.43,47.25,21.42,334.6,-308.7,36.49,34.07,2.848,0.4262,49.57,2.588,1.359,269.0,215.3,4.8,2.4,40.1,35.1,92.5,109.2,4.7,44.1,4.0,137.1,44.6,74.9,57,55,11.73,7.06,8.971,20,0,115.7,109.8,161.8,125.7,4.0,4.2,30.0,0.0,100,5.0,49.0,56,26.0,55.48,78.42,50.14,50.08,22.41,68.35,241.6,F1
53.02,53.2,44.25,44.1,65.88,65.8,74.15,73.9,71.79,65.77,51.98,53.15,92.37,26.37,67.19,-1.199,78.98,69.55,10.6,1.165,57.44,4.835,0.7272,268.1,216.0,7.6,5.6,36.5,31.9,79.5,85.9,8.1,41.0,4.3,104.7,25.2,53.5,66,63,10.38,3.196,8.116,20,0,110.1,107.1,156.3,123.6,8.1,9.1,90.0,30.0,100,90.0,57.0,56,64.83,54.75,59.71,60.7,57.0,127.5,68.68,-9.419,F1
49.5,49.6,40.52,40.4,80.58,80.5,89.22,88.9,87.14,68.56,49.31,49.71,95.82,23.01,206.2,-133.4,80.21,78.53,3.567,1.887,76.49,3.687,0.9536,266.2,214.3,4.4,5.4,35.8,31.3,94.3,112.7,7.8,38.4,2.6,117.8,23.5,81.6,90,86,21.61,6.413,5.964,20,0,111.8,107.5,163.8,131.7,8.4,9.4,45.0,0.0,100,36.0,49.0,56,34.99,59.66,75.27,51.33,50.65,35.38,85.61,164.8,F1
