TEI,TWEI,TEO,TWEO,TCI,TWCI,TCO,TWCO,TSI,TSO,TBI,TBO,Cond Tons,Cooling Tons,Shared Cond Tons,Cond Energy Balance,Evap Tons,Shared Evap Tons,Building Tons,Evap Energy Balance,kW,COP,kW/Ton,FWC,FWE,TEA,TCA,TRE,PRE,TRC,PRC,TRC_sub,T_suc,Tsh_suc,TR_dis,Tsh_dis,P_lift,Amps,RLA%,Heat Balance (kW),Heat Balance%,Tolerance%,Unit Status,Active Fault,TO_sump,TO_feed,PO_feed,PO_net,TWCD,TWED,VSS,VSL,VH,VM,VC,VE,VW,TWI,TWO,THI,THO,FWW,FWH,FWB,fault type
43.81,43.9,40.44,40.2,70.06,70.0,73.53,73.5,72.28,52.51,43.66,43.98,39.17,14.14,222.6,-197.6,30.3,28.98,2.854,1.531,37.66,2.829,1.243,270.2,215.7,3.3,1.8,37.2,32.5,75.3,79.4,4.0,39.9,2.7,122.5,47.2,47.0,44,42,6.497,4.718,10.6,20,0,109.2,106.5,130.5,97.1,3.7,3.5,30.0,0.0,100,15.0,48.0,56,37.51,56.1,65.53,45.14,44.84,35.99,68.49,235.1,Normal
57.49,58.5,57.14,57.9,60.31,59.6,61.09,59.6,60.98,59.92,57.63,57.82,8.785,1.237,12.01,-4.46,3.084,4.339,1.755,3.01,1.682e-45,10.84,5.452e-46,271.7,216.2,0.7,0.8,57.3,54.1,59.8,58.1,0.0,58.0,0.7,105.3,45.5,4.0,0,0,-20.05,-64.9,23.27,6,0,108.8,107.7,50.7,0.0,0.1,0.5,0.0,0.0,100,100.0,56.0,56,30.0,59.66,60.57,57.84,57.66,29.68,42.11,173.5,Normal
44.3,44.3,40.23,40.2,67.35,66.5,71.53,70.3,70.15,54.27,44.16,44.6,46.8,15.46,178.1,-146.7,36.53,35.21,3.955,2.633,37.71,3.406,1.032,269.1,215.5,4.0,2.5,36.2,31.6,72.8,75.5,2.4,39.4,3.2,112.0,39.2,43.9,43,41,1.604,0.975,10.74,20,0,107.5,105.7,129.5,97.1,3.8,4.1,25.0,0.0,100,22.0,47.0,56,78.0,59.29,62.54,45.92,45.49,114.3,94.91,215.9,Normal
50.69,50.8,44.66,44.6,74.97,74.9,80.74,80.5,78.71,61.8,49.81,50.9,64.63,22.77,189.3,-147.5,54.0,46.09,9.805,1.892,50.34,3.772,0.9322,268.8,214.8,5.4,3.5,39.2,34.3,84.0,93.8,6.2,42.9,3.8,116.7,32.7,60.3,57,55,12.94,5.695,8.971,20,0,112.4,109.2,134.0,100.2,5.6,6.2,80.0,0.0,100,25.0,48.0,56,41.0,55.4,68.52,57.67,54.38,41.68,71.45,203.4,Normal
50.12,50.1,40.19,39.9,66.0,65.8,75.3,75.2,72.93,65.85,49.15,50.33,103.6,26.33,78.96,-1.654,88.54,79.92,10.51,1.886,64.81,4.803,0.732,267.7,214.1,5.4,5.8,35.0,30.5,81.0,88.4,9.2,37.7,3.0,102.1,21.1,57.3,74,71,11.74,3.221,7.328,20,0,109.4,108.0,134.0,102.9,9.3,10.0,70.0,0.0,100,100.0,57.0,56,83.58,58.96,63.15,57.39,54.01,150.9,74.7,-3.271,Normal
54.99,55.2,45.68,45.4,84.96,84.8,93.8,93.5,91.44,73.02,54.51,55.08,98.59,26.33,205.4,-133.1,83.23,78.98,5.036,0.791,80.55,3.633,0.9679,267.6,214.6,5.9,5.2,39.5,34.6,98.7,121.6,8.6,42.9,3.4,122.7,24.0,87.5,96,92,26.53,7.654,5.448,20,0,115.6,111.1,140.4,105.1,9.0,9.8,50.0,0.0,100,35.0,49.0,56,27.65,55.69,79.78,58.78,57.08,26.23,71.24,164.7,Normal
49.01,49.0,45.39,45.4,85.21,84.9,88.89,88.5,87.55,58.24,48.86,49.18,41.02,14.9,326.5,-300.4,32.62,31.29,2.863,1.537,45.3,2.531,1.389,267.3,216.4,4.4,2.2,41.0,36.1,90.7,105.7,4.9,44.8,3.6,139.4,49.0,69.9,52,50,15.76,10.93,9.553,20,0,118.1,112.7,138.5,101.4,3.6,3.7,30.0,0.0,100,5.0,49.0,56,20.0,55.77,80.51,50.26,49.88,14.45,68.72,241.7,Normal
55.97,56.1,49.9,50.0,65.27,65.0,70.91,70.8,69.49,65.2,55.7,56.1,62.99,15.83,47.9,-0.7396,54.59,52.16,3.589,1.163,42.56,4.51,0.7797,267.7,215.7,8.2,3.3,41.8,36.9,74.1,77.5,5.7,47.8,6.0,110.3,36.0,40.8,49,47,13.01,5.872,9.926,20,0,112.2,109.6,132.0,94.6,5.7,6.1,50.0,0.0,100,80.0,56.0,56,48.0,55.16,62.33,58.45,57.41,52.94,82.73,-23.8,Normal
55.07,56.0,46.58,46.6,69.52,68.6,77.59,77.1,75.35,68.72,54.39,55.32,90.02,24.99,74.01,-8.968,75.69,69.63,8.307,2.249,59.91,4.442,0.7915,267.9,214.0,7.5,5.2,39.2,34.3,82.3,90.8,7.9,43.9,4.8,110.9,28.8,57.0,71,68,9.517,3.007,7.617,20,0,117.4,113.6,136.0,100.5,8.7,9.4,60.0,100.0,100,98.52,57.0,56,55.0,55.73,64.5,65.25,59.13,68.35,32.58,15.83,Normal
48.19,48.2,44.94,44.8,64.69,64.7,67.92,67.6,66.83,55.25,48.05,48.36,36.35,12.28,130.2,-106.2,29.39,28.06,2.873,1.542,33.73,3.064,1.147,269.8,217.1,4.7,2.7,40.1,35.1,70.3,71.5,4.1,44.4,4.3,123.0,52.9,36.4,39,38,9.272,7.256,11.2,20,0,111.8,108.4,128.0,93.7,3.1,3.4,35.0,0.0,100,23.0,47.0,56,48.0,55.2,61.06,49.48,49.06,50.22,68.96,211.7,Normal
